Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
01-09-2023,9.8,14.8,1.8,1.8,4.3,S,28,14:18,11.6,90,7,WSW,7,1025.3,14.4,56,5,SSW,17,1023.9
02-09-2023,3.9,15.8,0,2.6,10.2,SW,22,14:17,8.4,76,1,NE,6,1024.4,14.4,62,7,SW,13,1020
03-09-2023,6,20.4,0,3,10,N,35,14:23,10.8,79,0,NNE,9,1020.1,20.2,41,1,N,17,1014
04-09-2023,9.7,21.6,0,5.4,4.3,N,69,11:21,18.8,39,6,N,13,1005.4,20.7,41,7,N,19,1002.1
05-09-2023,6.7,15.1,2.8,4.6,6.2,NW,48,10:52,10.5,72,6,NNW,15,1011.7,14.3,46,4,WSW,9,1014.3
06-09-2023,6.1,19.4,0.2,4.4,10.3,NNW,54,11:08,11.8,52,1,N,20,1018.5,18.9,41,5,N,26,1014.2
07-09-2023,10.7,22.1,0,8.4,4.9,N,63,16:20,17.1,45,2,N,20,1009.6,21.1,33,6,N,22,1001.8
08-09-2023,8.4,11.7,4,3.8,0,NNW,70,10:21,11.2,60,7,NNW,19,1005,11.5,62,7,WNW,17,1013.3
09-09-2023,6.8,13.9,0.8,2.2,7.9,SSW,35,10:58,10,61,1,W,13,1027.9,10.6,75,4,S,15,1027.2
10-09-2023,10,14.9,1,2.8,1,SW,24,09:45,12,71,7,WNW,7,1031.8,14.1,62,8,S,11,1031.3
11-09-2023,8.3,17.2,0,2.8,5.5,SSW,19,11:53,12.9,74,1,W,2,1033.9,16.2,54,6,SSW,9,1031.5
12-09-2023,10.2,23.3,0,1.2,9,NW,28,11:29,15.9,57,7,NE,9,1029.9,22.3,33,2,S,9,1026.2
13-09-2023,9.2,25.1,0,4.2,10.1,NW,20,11:58,15.3,64,7,NNE,6,1028.3,24.7,33,7, ,Calm,1025.2
14-09-2023,10.5,23.9,0,4.2,8.2,N,44,13:58,18.4,63,7,N,17,1026.5,23.3,37,7,N,20,1022.3
15-09-2023,15.1,22.4,0,8,10,N,41,00:08,18.5,48,5,WNW,4,1020.9,20.7,43,1,SSW,13,1018.3
16-09-2023,9.6,25,0,7.8,11,NNW,48,14:43,17.8,51,0,N,17,1019.8,24.3,32,1,NNW,24,1015.2
17-09-2023,12.6,23.1,0,6.6,10.1,NNW,30,10:26,18.4,54,1,NW,9,1021.4,22.2,43,3,S,11,1018
18-09-2023,13.7,21.9,0,5.6,3.9,SSW,26,13:14,15.1,76,7,W,4,1015.6,15.8,78,7,SSW,11,1014.6
19-09-2023,13.7,28,0,3.8,4.2,N,43,16:41,18.6,57,6,SSW,15,1007.8,26.3,33,5,NNW,19,1003.6
20-09-2023,13.2,19,0,7.6,0.7,W,43,13:40,14.8,66,7,WNW,13,1007.8,16.4,33,7,WNW,9,1008.2
21-09-2023,9.2,14.9,0.2,3.8,6.2,SSW,30,09:34,12.7,64,3,WSW,11,1020.7,14.3,57,7,SSW,15,1023.9
22-09-2023,6.8,14.9,0,3.2,10.8,SSW,30,14:22,12.4,63,2,NNE,6,1031.5,14.3,51,1,SSW,13,1029.4
23-09-2023,5.2,16.4,0,3.6,10.3,SW,22,11:51,10.8,64,5,E,7,1030.3,14.7,64,5,SSW,13,1026.7
24-09-2023,7.2,23.8,0,4,11.3,NNE,39,13:29,13.4,76,0,NE,9,1025.4,23.2,34,0,N,20,1020
25-09-2023,13.4,23.4,0,8,8.3,SSW,41,11:32,20,43,3,NW,7,1020.2,17.2,65,1,SSW,17,1020.9
26-09-2023,9.5,16.4,0,5.2,11.1,SW,30,13:55,14.2,52,1,S,6,1022.2,15.4,58,2,SSW,13,1019.4
27-09-2023,10.2,17.3,0,4.4,6.8,S,35,14:59,12.7,73,7,WNW,4,1023.6,15.6,66,5,SSW,17,1024.8
28-09-2023,10.2,20.1,0,3.8,9.2,SSW,24,14:12,14.8,62,4,W,6,1029.9,18.4,51,1,SSW,13,1026.9
29-09-2023,8,27.8,0,4.4,10.9,NNW,28,11:12,16.4,50,1,NE,9,1025.2,26.9,17,1,SSW,7,1020.6
30-09-2023,15.4,29.7,0,11.2,10.6,N,48,12:58,21.8,29,1,N,19,1018.4,28.8,19,1,NNW,20,1012.1
